START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/29/17,01:05 PM,01:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES",05/29/17,05/29/17,04:05 PM,04:05 PM,FALSE,TRUE,05/29/17,12:05 PM,12:05 PM,FREE,BUSY
05/30/17,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES",05/30/17,05/30/17,10:05 PM,10:05 PM,FALSE,TRUE,05/30/17,06:05 PM,06:05 PM,FREE,BUSY
05/31/17,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: WPIX",05/31/17,05/31/17,10:05 PM,10:05 PM,FALSE,TRUE,05/31/17,06:05 PM,06:05 PM,FREE,BUSY
06/01/17,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES",06/01/17,06/01/17,10:07 PM,10:07 PM,FALSE,TRUE,06/01/17,06:07 PM,06:07 PM,FREE,BUSY
06/02/17,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES",06/02/17,06/02/17,10:07 PM,10:07 PM,FALSE,TRUE,06/02/17,06:07 PM,06:07 PM,FREE,BUSY
06/03/17,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES",06/03/17,06/03/17,04:07 PM,04:07 PM,FALSE,TRUE,06/03/17,12:07 PM,12:07 PM,FREE,BUSY
06/04/17,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES",06/04/17,06/04/17,04:07 PM,04:07 PM,FALSE,TRUE,06/04/17,12:07 PM,12:07 PM,FREE,BUSY
06/06/17,07:05 PM,07:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",06/06/17,06/06/17,10:05 PM,10:05 PM,FALSE,TRUE,06/06/17,06:05 PM,06:05 PM,FREE,BUSY
06/07/17,07:05 PM,07:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: YES",06/07/17,06/07/17,10:05 PM,10:05 PM,FALSE,TRUE,06/07/17,06:05 PM,06:05 PM,FREE,BUSY
06/08/17,07:05 PM,07:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: YES",06/08/17,06/08/17,10:05 PM,10:05 PM,FALSE,TRUE,06/08/17,06:05 PM,06:05 PM,FREE,BUSY
06/09/17,07:35 PM,07:35 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: YES",06/09/17,06/09/17,10:35 PM,10:35 PM,FALSE,TRUE,06/09/17,06:35 PM,06:35 PM,FREE,BUSY
06/10/17,07:15 PM,07:15 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: FOX",06/10/17,06/10/17,10:15 PM,10:15 PM,FALSE,TRUE,06/10/17,06:15 PM,06:15 PM,FREE,BUSY
06/11/17,01:05 PM,01:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: YES",06/11/17,06/11/17,04:05 PM,04:05 PM,FALSE,TRUE,06/11/17,12:05 PM,12:05 PM,FREE,BUSY
06/12/17,10:07 PM,10:07 PM,Yankees at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: YES",06/13/17,06/13/17,01:07 AM,01:07 AM,FALSE,TRUE,06/12/17,09:07 PM,09:07 PM,FREE,BUSY
06/13/17,10:07 PM,10:07 PM,Yankees at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: YES",06/14/17,06/14/17,01:07 AM,01:07 AM,FALSE,TRUE,06/13/17,09:07 PM,09:07 PM,FREE,BUSY
06/14/17,10:07 PM,10:07 PM,Yankees at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: YES",06/15/17,06/15/17,01:07 AM,01:07 AM,FALSE,TRUE,06/14/17,09:07 PM,09:07 PM,FREE,BUSY
06/15/17,10:05 PM,10:05 PM,Yankees at Athletics,Oakland Coliseum - Oakland,"Local TV: YES",06/16/17,06/16/17,01:05 AM,01:05 AM,FALSE,TRUE,06/15/17,09:05 PM,09:05 PM,FREE,BUSY
06/16/17,09:35 PM,09:35 PM,Yankees at Athletics,Oakland Coliseum - Oakland,"Local TV: YES",06/17/17,06/17/17,12:35 AM,12:35 AM,FALSE,TRUE,06/16/17,08:35 PM,08:35 PM,FREE,BUSY
06/17/17,04:05 PM,04:05 PM,Yankees at Athletics,Oakland Coliseum - Oakland,"Local TV: YES",06/17/17,06/17/17,07:05 PM,07:05 PM,FALSE,TRUE,06/17/17,03:05 PM,03:05 PM,FREE,BUSY
06/18/17,04:05 PM,04:05 PM,Yankees at Athletics,Oakland Coliseum - Oakland,"Local TV: YES",06/18/17,06/18/17,07:05 PM,07:05 PM,FALSE,TRUE,06/18/17,03:05 PM,03:05 PM,FREE,BUSY
06/20/17,07:05 PM,07:05 PM,Angels at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",06/20/17,06/20/17,10:05 PM,10:05 PM,FALSE,TRUE,06/20/17,06:05 PM,06:05 PM,FREE,BUSY
06/21/17,07:05 PM,07:05 PM,Angels at Yankees,Yankee Stadium - Bronx,"Local TV: YES",06/21/17,06/21/17,10:05 PM,10:05 PM,FALSE,TRUE,06/21/17,06:05 PM,06:05 PM,FREE,BUSY
06/22/17,07:05 PM,07:05 PM,Angels at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",06/22/17,06/22/17,10:05 PM,10:05 PM,FALSE,TRUE,06/22/17,06:05 PM,06:05 PM,FREE,BUSY
06/23/17,07:05 PM,07:05 PM,Rangers at Yankees,Yankee Stadium - Bronx,"Local TV: YES",06/23/17,06/23/17,10:05 PM,10:05 PM,FALSE,TRUE,06/23/17,06:05 PM,06:05 PM,FREE,BUSY
06/24/17,01:05 PM,01:05 PM,Rangers at Yankees,Yankee Stadium - Bronx,"Local TV: YES",06/24/17,06/24/17,04:05 PM,04:05 PM,FALSE,TRUE,06/24/17,12:05 PM,12:05 PM,FREE,BUSY
06/25/17,02:05 PM,02:05 PM,Rangers at Yankees,Yankee Stadium - Bronx,"",06/25/17,06/25/17,05:05 PM,05:05 PM,FALSE,TRUE,06/25/17,01:05 PM,01:05 PM,FREE,BUSY
06/26/17,08:10 PM,08:10 PM,Yankees at White Sox,Guaranteed Rate Field - Chicago,"Local TV: YES",06/26/17,06/26/17,11:10 PM,11:10 PM,FALSE,TRUE,06/26/17,07:10 PM,07:10 PM,FREE,BUSY
06/27/17,08:10 PM,08:10 PM,Yankees at White Sox,Guaranteed Rate Field - Chicago,"Local TV: YES",06/27/17,06/27/17,11:10 PM,11:10 PM,FALSE,TRUE,06/27/17,07:10 PM,07:10 PM,FREE,BUSY
06/28/17,08:10 PM,08:10 PM,Yankees at White Sox,Guaranteed Rate Field - Chicago,"Local TV: YES",06/28/17,06/28/17,11:10 PM,11:10 PM,FALSE,TRUE,06/28/17,07:10 PM,07:10 PM,FREE,BUSY
06/29/17,08:10 PM,08:10 PM,Yankees at White Sox,Guaranteed Rate Field - Chicago,"Local TV: WPIX",06/29/17,06/29/17,11:10 PM,11:10 PM,FALSE,TRUE,06/29/17,07:10 PM,07:10 PM,FREE,BUSY
06/30/17,08:10 PM,08:10 PM,Yankees at Astros,Minute Maid Park - Houston,"Local TV: YES",06/30/17,06/30/17,11:10 PM,11:10 PM,FALSE,TRUE,06/30/17,07:10 PM,07:10 PM,FREE,BUSY
07/01/17,07:15 PM,07:15 PM,Yankees at Astros,Minute Maid Park - Houston,"Local TV: FOX",07/01/17,07/01/17,10:15 PM,10:15 PM,FALSE,TRUE,07/01/17,06:15 PM,06:15 PM,FREE,BUSY
07/02/17,02:10 PM,02:10 PM,Yankees at Astros,Minute Maid Park - Houston,"",07/02/17,07/02/17,05:10 PM,05:10 PM,FALSE,TRUE,07/02/17,01:10 PM,01:10 PM,FREE,BUSY
07/03/17,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/03/17,07/03/17,10:05 PM,10:05 PM,FALSE,TRUE,07/03/17,06:05 PM,06:05 PM,FREE,BUSY
07/04/17,01:05 PM,01:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/04/17,07/04/17,04:05 PM,04:05 PM,FALSE,TRUE,07/04/17,12:05 PM,12:05 PM,FREE,BUSY
